student_id,age,gender,gpa,attendance_rate,family_income,parent_education,study_hours,extracurricular,previous_failures,school_distance_km,siblings,internet_access,single_parent,dropout
1,15,1,7.2,82,35000,2,3,1,0,5,2,1,0,0
2,16,0,4.1,45,12000,0,1,0,2,15,4,0,1,1
3,14,1,8.5,91,60000,3,5,1,0,3,1,1,0,0
4,17,0,3.2,38,8000,0,0,0,3,22,5,0,1,1
5,15,1,6.8,75,28000,1,3,1,1,8,3,1,0,0
6,16,0,5.5,60,20000,1,2,0,1,10,2,0,0,0
7,17,1,2.8,30,5000,0,0,0,4,30,6,0,1,1
8,14,0,9.1,95,80000,4,6,1,0,2,1,1,0,0
9,16,1,4.9,52,15000,1,2,0,2,12,3,0,1,1
10,15,0,7.6,85,45000,2,4,1,0,4,2,1,0,0
11,17,1,3.5,42,10000,0,1,0,2,18,4,0,1,1
12,14,0,8.8,93,70000,3,5,1,0,3,1,1,0,0
13,16,1,5.2,58,18000,1,2,0,1,11,3,0,0,0
14,15,0,6.4,72,32000,2,3,1,0,6,2,1,0,0
15,17,1,2.5,28,4000,0,0,0,4,35,7,0,1,1
16,14,0,9.3,97,90000,4,7,1,0,2,1,1,0,0
17,16,1,4.5,48,13000,0,1,0,3,20,4,0,1,1
18,15,0,7.1,80,40000,2,4,1,0,5,2,1,0,0
19,17,1,3.8,40,9000,0,1,0,3,25,5,0,1,1
20,14,0,8.2,89,55000,3,5,1,0,4,1,1,0,0
21,16,1,5.8,65,22000,1,2,1,1,9,3,1,0,0
22,15,0,6.9,78,38000,2,3,1,0,5,2,1,0,0
23,17,1,2.2,25,3000,0,0,0,5,40,7,0,1,1
24,14,0,9.5,98,100000,4,8,1,0,1,1,1,0,0
25,16,1,4.2,46,11000,0,1,0,3,22,5,0,1,1
26,15,0,7.4,83,42000,2,4,1,0,4,2,1,0,0
27,17,1,3.1,35,7000,0,0,0,4,28,6,0,1,1
28,14,0,8.6,92,65000,3,5,1,0,3,1,1,0,0
29,16,1,5.0,55,17000,1,2,0,2,13,3,0,0,0
30,15,0,6.5,73,33000,2,3,1,0,6,2,1,0,0
31,17,1,2.7,32,6000,0,0,0,4,32,6,0,1,1
32,14,0,9.0,96,85000,4,7,1,0,2,1,1,0,0
33,16,1,4.7,50,14000,0,1,0,2,16,4,0,1,1
34,15,0,7.3,81,41000,2,4,1,0,5,2,1,0,0
35,17,1,3.3,38,8500,0,1,0,3,26,5,0,1,1
36,14,0,8.9,94,75000,3,6,1,0,3,1,1,0,0
37,16,1,5.4,62,21000,1,2,1,1,10,3,1,0,0
38,15,0,6.7,76,36000,2,3,1,0,5,2,1,0,0
39,17,1,2.3,27,3500,0,0,0,5,38,7,0,1,1
40,14,0,9.2,97,88000,4,7,1,0,2,1,1,0,0
41,16,1,4.4,47,12500,0,1,0,3,21,4,0,1,1
42,15,0,7.0,79,39000,2,4,1,0,5,2,1,0,0
43,17,1,3.6,41,9500,0,1,0,3,24,5,0,1,1
44,14,0,8.3,90,58000,3,5,1,0,4,1,1,0,0
45,16,1,5.6,64,23000,1,2,1,1,8,3,1,0,0
46,15,0,6.6,74,34000,2,3,1,0,6,2,1,0,0
47,17,1,2.4,26,3200,0,0,0,5,42,8,0,1,1
48,14,0,9.4,98,95000,4,8,1,0,1,1,1,0,0
49,16,1,4.6,49,13500,0,1,0,2,17,4,0,1,1
50,15,0,7.5,84,43000,2,4,1,0,4,2,1,0,0
51,16,1,3.9,43,10500,1,1,0,2,19,4,0,1,1
52,15,0,8.0,87,50000,2,4,1,0,4,2,1,0,0
53,17,1,2.6,29,4500,0,0,0,4,36,7,0,1,1
54,14,0,8.7,93,68000,3,5,1,0,3,1,1,0,0
55,16,1,5.3,60,19000,1,2,0,1,11,3,0,0,0
56,15,0,6.3,71,31000,2,3,1,0,7,2,1,0,0
57,17,1,3.0,34,6500,0,0,0,4,30,6,0,1,1
58,14,0,8.4,91,62000,3,5,1,0,3,1,1,0,0
59,16,1,4.8,51,14500,0,1,0,2,15,4,0,1,1
60,15,0,7.2,80,40000,2,4,1,0,5,2,1,0,0
61,17,1,2.9,33,5500,0,0,0,4,33,6,0,1,1
62,14,0,9.1,96,82000,4,7,1,0,2,1,1,0,0
63,16,1,5.1,57,16500,1,2,0,2,12,3,0,0,0
64,15,0,6.8,77,37000,2,3,1,0,5,2,1,0,0
65,17,1,2.1,24,2800,0,0,0,5,44,8,0,1,1
66,14,0,9.3,97,92000,4,8,1,0,1,1,1,0,0
67,16,1,4.3,46,12000,0,1,0,3,20,4,0,1,1
68,15,0,7.7,86,46000,2,4,1,0,4,2,1,0,0
69,17,1,3.4,39,9000,0,1,0,3,27,5,0,1,1
70,14,0,8.8,94,72000,3,5,1,0,3,1,1,0,0
71,16,1,5.7,66,24000,1,2,1,1,9,3,1,0,0
72,15,0,6.1,69,29000,2,3,1,0,7,2,1,0,0
73,17,1,2.8,31,5000,0,0,0,4,35,7,0,1,1
74,14,0,9.0,96,87000,4,7,1,0,2,1,1,0,0
75,16,1,4.9,53,15000,1,1,0,2,14,4,0,1,1
76,15,0,7.4,83,44000,2,4,1,0,4,2,1,0,0
77,17,1,3.2,37,7500,0,0,0,4,29,6,0,1,1
78,14,0,8.5,92,63000,3,5,1,0,3,1,1,0,0
79,16,1,5.5,63,20500,1,2,0,1,10,3,0,0,0
80,15,0,6.6,74,35000,2,3,1,0,6,2,1,0,0
81,17,1,2.5,28,4000,0,0,0,5,40,7,0,1,1
82,14,0,9.2,97,89000,4,7,1,0,1,1,1,0,0
83,16,1,4.5,49,13000,0,1,0,2,16,4,0,1,1
84,15,0,7.1,80,41000,2,4,1,0,5,2,1,0,0
85,17,1,3.6,41,9500,0,1,0,3,25,5,0,1,1
86,14,0,8.9,95,77000,3,6,1,0,3,1,1,0,0
87,16,1,5.9,68,25000,1,2,1,1,8,3,1,0,0
88,15,0,6.4,72,32000,2,3,1,0,6,2,1,0,0
89,17,1,2.3,26,3500,0,0,0,5,38,7,0,1,1
90,14,0,9.4,98,96000,4,8,1,0,1,1,1,0,0
91,16,1,4.6,50,14000,0,1,0,2,15,4,0,1,1
92,15,0,7.3,82,42000,2,4,1,0,5,2,1,0,0
93,17,1,3.1,35,7000,0,0,0,4,32,6,0,1,1
94,14,0,8.6,93,66000,3,5,1,0,3,1,1,0,0
95,16,1,5.2,58,18000,1,2,0,1,11,3,0,0,0
96,15,0,7.8,87,48000,2,4,1,0,4,2,1,0,0
97,17,1,2.6,29,4200,0,0,0,4,37,7,0,1,1
98,14,0,9.1,96,83000,4,7,1,0,2,1,1,0,0
99,16,1,4.7,51,14000,0,1,0,2,17,4,0,1,1
100,15,0,7.0,79,39000,2,4,1,0,5,2,1,0,0
